sign_code,signCount
sign_code,signCount
"SI-1622Q",24
"SR-2429",23
"SR-2428",23
"SR-1959",23
"SR-1961L",23
"SP-91CA",23
"PS-57B",23
"SR-1985",23
"SI-1891G",23
"SR-1954",23
"SR-1953",23
"SP-393CA",23
"SI-1890G",23
"R3-1",22
"SW-631",21
"SR-1183",21
"SR-780",21
"PS-32CA",21
"PS-30BA",21
"SR-2167",21
"PS-20BA",21
"SP-461CA",21
"SR-2148",21
"SP-453CA",20
"R7-45",20
"R7-40A",20
"SR-1946",19
"SP-382C",18
"SP-393C",18
"SR-97",18
"SP-376C",18
"PS-51G",17
"SP-858C",17
"SP-859C",17
"PS-121BA",17
"PS-49EA",17
"PS-456C",17
"SP-858CA",17
"SP-128B",16
"SI-709Q",16
"INSERT",16
"SP-938BA",16
"SP-938B",16
"PS-156EA",15
"PS-196EA",15
"SW-444",15
"SI-2066Q",15
"SR-1263",15
"SI-261G",15
"PS-52C",15
"SI-329G",15
"PS-49BA",15
"PS-49B",15
"SI-441G",15
"SI-225Q",15
"SI-731G",15
"PS-123EA",15
"SR-1451",15
"SR-1756",15
"SI-99G",15
"SR-2489",15
"SI-1320G",15
"SR-2337",15
"SI-6G",15
"PS-28BA",15
"PS-230GA",15
"PS-22G",15
"PS-35G",15
"SW-157",15
"SI-67G",15
"SI-774G",15
"W1-6R",14
"SR-2288",14
"W14-2A",13
"W12-5R",13
"PS-80BA",13
"PS-110B",13
"PS-11DA",13
"PS-11D",13
"SR-569",13
"SI-1799Q",12
"SR-493",12
"R5-2B",12
"R7-28R",12
"SR-1446",12
"SR-995",12
"SI-1016Q",12
"PS-78BA",12
"PS-78B",12
"SI-1731Q",12
"SR-566",12
"SI-1798Q",12
"SI-654Q",12
"SW-407",12
"SR-1567",12
"SR-113",12
"SR-1276",12
"SI-1732Q",12
"W12-5LV",11
"W12-5RV",11
"W14-6",11
"SR-2270",11
"SR-1856",11
"SW-574",11
"PS-6GA",10
"PS-122B",10
"PS-57BA",10
"SI-1018G",10
"PS-19B",10
"PS-2DA",10
"PS-377GA",10
"SI-1015G",10
"SP-1044BA",9
"PS-34B",9
"SR-652",9
"SI-1877G",8
"PS-205EA",8
"SR-568",8
"SI-1930Q",8
"SI-1875G",8
"SI-1876G",8
"SW-374",8
"SP-264B",8
"SR-1663",8
"PS-110BA",8
"SR-1179",8
"SR-1180",8
"SW-373",8
"W10-1",8
"SW-234",8
"SI-150G",8
"SR-432",8
"SI-146G",8
"SR-2031",7
"SP-435C",7
"PS-129GA",7
"PS-31GA",7
"W1-6L",7
"PS-31EA",7
"W1-1L",7
"W1-3R",7
"W7-1",6
"R7-44",6
"SW-121",6
"SP-877B",6
"SI-627K",6
"SI-629K",6
"SP-376CA",6
"PS-37EA",6
"PS-32BA",6
"PS-166BA",5
"SP-377C",5
"PS-8A",5
"PS-156B",5
"PS-166B",5
"PS-341G",4
"PS-439C",4
"PS-341GA",4
"SI-1912G",4
"SI-1913G",4
"SI-2095G",4
"PS-439CA",4
"SI-1915G",3
"R7-24R",3
"PS-64CA",3
"SI-1914G",3
"PS-64C",3
"PS-100GA",2
"SP-371G",2
"PS-41GA",2
"SP-399CA",1
"SP-396C",1
"PS-133B",1
"PS-149EA",1
"PS-31G",1
"SP-1044B",1
"SI-XXXXACG",1
"W1-1R",1
"R7-45A",1
"SP-352C",1
